case,random,greedy,sa
E1-1,80.24,86.11999999999999,86.11999999999999
E1-2,72.15,77.39,78.96
E1-3,74.13,77.39,78.36
E1-4,78.7,88.46000000000001,90.31
E1-5,76.69,84.09,86.2
E2-1,70.48,87.94,88.06
E2-2,76.0,86.05000000000001,86.05000000000001
E2-3,75.26,82.27,82.27
E2-4,75.14,85.06,85.81
E2-5,72.89,87.75,87.75
E3-1,73.87,87.74,88.41
E3-2,76.21,81.83,85.38
E3-3,73.25,88.79,88.79
E3-4,73.24000000000001,91.06,91.06
E3-5,69.67,84.32,84.32
E4-1,73.72999999999999,90.18,90.18
E4-2,71.0,84.11999999999999,84.11999999999999
E4-3,73.0,83.48,83.48
E4-4,73.04,83.91,85.2
E4-5,69.62,82.89999999999999,83.19
E5-1,71.07,87.74,87.99
E5-2,72.16,88.35,88.35
E5-3,71.24000000000001,87.18,87.47
E5-4,74.6,80.72,81.98
E5-5,73.16,86.38,86.38
