index,x,y,z,length,width,height
1,0,0,0,100,120,210
2,100,0,0,100,120,210
3,200,0,0,100,120,210
4,300,0,0,100,120,210
5,400,0,0,100,120,210
6,500,0,0,100,120,210
7,600,0,0,100,120,210
8,700,0,0,100,120,210
9,0,0,210,120,100,210
10,0,120,0,100,120,210
11,0,240,0,100,120,210
12,0,360,0,100,120,210
13,120,0,210,100,120,210
14,100,120,0,100,120,210
15,100,240,0,100,120,210
16,100,360,0,100,120,210
17,220,0,210,100,120,210
18,200,120,0,100,120,210
19,200,240,0,100,120,210
20,200,360,0,100,120,210
21,320,0,210,100,120,210
22,300,120,0,100,120,210
23,300,240,0,100,120,210
24,300,360,0,100,120,210
25,420,0,210,100,120,210
26,400,120,0,100,120,210
27,400,240,0,100,120,210
28,400,360,0,100,120,210
29,520,0,210,100,120,210
30,500,120,0,100,120,210
31,0,100,210,100,120,170
32,100,120,210,100,120,170
33,200,120,210,100,120,170
34,300,120,210,100,120,170
35,400,120,210,100,120,170
36,500,120,210,100,120,170
37,0,220,210,100,120,170
38,100,240,210,100,120,170
39,200,240,210,100,120,170
40,300,240,210,100,120,170
41,400,240,210,100,120,170
42,500,240,0,100,120,170
43,500,240,170,100,120,170
44,0,340,210,100,120,170
45,100,360,210,100,120,170
46,200,360,210,100,120,170
47,300,360,210,100,120,170
48,400,360,210,100,120,170
49,500,360,0,100,120,170
50,500,360,170,100,120,170
51,620,0,210,100,120,170
52,600,120,0,100,120,170
53,600,120,170,100,120,170
54,600,240,0,100,120,170
55,600,240,170,100,120,170
56,600,360,0,100,120,170
57,600,360,170,100,120,170
58,720,0,210,100,120,170
59,700,120,0,100,120,170
60,700,120,170,100,120,170
61,700,240,0,90,120,150
62,700,240,150,90,120,150
63,700,360,0,90,120,150
64,700,360,150,90,120,150
65,0,480,0,120,90,150
66,700,240,300,120,90,150
67,700,330,300,90,120,150
68,700,450,300,90,120,150
69,0,480,150,120,90,150
70,0,480,300,120,90,150
71,120,480,0,120,90,150
72,120,480,150,120,90,150
73,120,480,300,120,90,150
74,240,480,0,120,90,150
75,240,480,150,120,90,150
76,240,480,300,120,90,150
77,360,480,0,120,90,150
78,360,480,150,120,90,150
79,360,480,300,120,90,150
80,480,480,0,120,90,150
81,480,480,150,120,90,150
82,480,480,300,120,90,150
83,600,480,0,120,90,150
84,600,480,150,120,90,150
85,720,480,0,120,90,150
86,720,480,150,120,90,150
87,600,120,340,150,90,120
88,500,240,340,150,90,120
89,500,330,340,150,90,120
90,0,100,380,120,150,90
91,750,120,340,80,90,100
92,600,480,300,80,90,100
93,620,0,380,100,80,90
94,720,0,380,100,80,90
95,120,120,380,100,80,90
96,220,120,380,100,80,90
97,320,120,380,100,80,90
98,420,120,380,100,80,90
99,120,200,380,100,80,90
100,220,200,380,100,80,90
101,320,200,380,100,80,90
102,0,250,380,100,80,90
103,100,280,380,100,80,90
104,200,280,380,100,80,90
105,300,280,380,100,80,90
106,400,280,380,100,80,90
107,0,330,380,100,80,90
108,100,360,380,100,80,90
109,200,360,380,100,80,90
110,300,360,380,100,80,90
111,400,360,380,100,80,90
container,,,,850, 570, 480
